,Date,Open,High,Low,Close,Volume
0,20250203  09:15:00,49066.0,49117.5,48927.0,48994.0,0
1,20250203  09:16:00,48998.5,48999.0,48909.5,48945.0,0
2,20250203  09:18:00,48948.0,49004.0,48925.0,48986.5,0
3,20250203  09:20:00,48987.0,49004.5,48933.5,48965.5,0
4,20250203  09:22:00,48964.5,49071.5,48957.0,49040.0,0
5,20250203  09:24:00,49046.5,49084.5,49028.0,49070.5,0
6,20250203  09:26:00,49072.0,49128.5,49064.5,49094.0,0
7,20250203  09:28:00,49093.5,49195.5,49093.5,49191.5,0
8,20250203  09:30:00,49186.5,49261.0,49170.0,49250.5,0
9,20250203  09:32:00,49249.5,49276.0,49220.5,49223.0,0
10,20250203  09:34:00,49205.5,49256.5,49184.5,49204.0,0
11,20250203  09:36:00,49202.5,49217.0,49161.5,49164.5,0
12,20250203  09:38:00,49165.0,49169.5,49115.0,49118.0,0
13,20250203  09:40:00,49120.5,49175.5,49084.0,49140.0,0
14,20250203  09:42:00,49138.5,49143.0,49091.5,49100.0,0
15,20250203  09:44:00,49100.5,49108.5,49032.0,49065.5,0
16,20250203  09:46:00,49070.5,49084.0,49062.5,49071.5,0
17,20250203  09:48:00,49071.0,49075.0,49020.0,49020.0,0
18,20250203  09:50:00,49022.5,49037.5,49009.0,49025.5,0
19,20250203  09:52:00,49024.0,49052.5,48996.0,49026.0,0
20,20250203  09:54:00,49026.5,49075.5,49019.0,49054.5,0
21,20250203  09:56:00,49056.0,49074.5,49027.5,49057.5,0
22,20250203  09:58:00,49052.5,49056.5,49010.5,49037.0,0
23,20250203  10:00:00,49039.0,49052.0,49012.5,49031.0,0
24,20250203  10:02:00,49034.0,49045.0,49012.0,49029.5,0
25,20250203  10:04:00,49032.5,49033.0,49011.5,49028.5,0
26,20250203  10:06:00,49026.0,49110.0,49023.5,49110.0,0
27,20250203  10:08:00,49107.0,49119.0,49089.0,49099.5,0
28,20250203  10:10:00,49099.0,49136.0,49093.5,49131.0,0
29,20250203  10:12:00,49130.0,49144.5,49077.5,49086.0,0
30,20250203  10:14:00,49084.5,49102.5,49050.0,49064.0,0
31,20250203  10:16:00,49063.0,49104.0,49058.5,49094.5,0
32,20250203  10:18:00,49092.5,49129.5,49090.5,49119.0,0
33,20250203  10:20:00,49119.5,49186.0,49110.0,49156.5,0
34,20250203  10:22:00,49156.5,49193.0,49112.5,49180.0,0
35,20250203  10:24:00,49177.0,49210.0,49176.5,49189.0,0
36,20250203  10:26:00,49188.0,49220.5,49181.0,49202.0,0
37,20250203  10:28:00,49202.0,49205.0,49150.5,49181.0,0
38,20250203  10:30:00,49178.0,49201.0,49172.0,49180.5,0
39,20250203  10:32:00,49178.5,49179.0,49142.5,49162.5,0
40,20250203  10:34:00,49162.5,49197.5,49161.0,49184.5,0
41,20250203  10:36:00,49182.5,49185.5,49158.0,49166.5,0
42,20250203  10:38:00,49165.5,49173.5,49149.0,49153.0,0
43,20250203  10:40:00,49152.0,49167.5,49114.5,49163.5,0
44,20250203  10:42:00,49163.5,49248.5,49158.5,49246.0,0
45,20250203  10:44:00,49250.0,49252.5,49230.0,49237.5,0
46,20250203  10:46:00,49236.0,49268.5,49233.0,49243.0,0
47,20250203  10:48:00,49242.0,49266.0,49213.0,49217.0,0
48,20250203  10:50:00,49215.0,49225.5,49173.5,49174.0,0
49,20250203  10:52:00,49173.0,49180.0,49147.5,49164.5,0
50,20250203  10:54:00,49164.5,49195.0,49141.5,49187.0,0
51,20250203  10:56:00,49187.5,49195.0,49170.5,49175.5,0
52,20250203  10:58:00,49176.5,49197.5,49159.5,49197.0,0
53,20250203  11:00:00,49196.5,49223.0,49183.0,49196.0,0
54,20250203  11:02:00,49196.0,49200.5,49163.0,49173.5,0
55,20250203  11:04:00,49176.0,49201.0,49168.0,49183.0,0
56,20250203  11:06:00,49182.5,49214.0,49181.0,49212.0,0
57,20250203  11:08:00,49209.5,49222.5,49192.0,49195.5,0
58,20250203  11:10:00,49197.5,49225.5,49192.5,49223.5,0
59,20250203  11:12:00,49222.0,49254.0,49212.0,49252.0,0
60,20250203  11:14:00,49251.0,49286.5,49251.0,49257.0,0
