,Date,Open,High,Low,Close,Volume
0,20250203  09:15:00,23321.65,23336.75,23259.8,23271.85,0
1,20250203  09:16:00,23272.25,23272.25,23247.3,23251.2,0
2,20250203  09:18:00,23251.95,23271.45,23247.05,23263.0,0
3,20250203  09:20:00,23261.5,23268.2,23240.3,23250.9,0
4,20250203  09:22:00,23251.25,23279.0,23247.5,23276.7,0
5,20250203  09:24:00,23276.8,23297.85,23268.0,23293.8,0
6,20250203  09:26:00,23293.85,23322.7,23291.8,23318.25,0
7,20250203  09:28:00,23320.15,23335.85,23319.3,23335.1,0
8,20250203  09:30:00,23334.2,23342.1,23325.15,23341.6,0
9,20250203  09:32:00,23343.75,23343.85,23322.25,23323.55,0
10,20250203  09:34:00,23321.65,23332.25,23294.9,23305.15,0
11,20250203  09:36:00,23305.85,23309.5,23285.55,23288.6,0
12,20250203  09:38:00,23289.85,23290.2,23271.5,23288.45,0
13,20250203  09:40:00,23288.25,23315.7,23282.55,23283.1,0
14,20250203  09:42:00,23283.7,23300.45,23275.0,23275.5,0
15,20250203  09:44:00,23276.5,23280.6,23242.8,23250.65,0
16,20250203  09:46:00,23250.55,23256.35,23234.15,23234.15,0
17,20250203  09:48:00,23234.35,23239.0,23223.05,23225.3,0
18,20250203  09:50:00,23227.0,23241.95,23222.55,23231.15,0
19,20250203  09:52:00,23229.0,23240.7,23223.9,23239.15,0
20,20250203  09:54:00,23239.95,23248.7,23235.25,23237.0,0
21,20250203  09:56:00,23237.85,23255.35,23237.75,23244.9,0
22,20250203  09:58:00,23244.7,23252.2,23235.65,23246.55,0
23,20250203  10:00:00,23248.8,23260.1,23238.3,23246.65,0
24,20250203  10:02:00,23246.6,23254.6,23243.0,23254.05,0
25,20250203  10:04:00,23254.7,23254.95,23242.75,23248.7,0
26,20250203  10:06:00,23248.3,23270.45,23248.3,23268.3,0
27,20250203  10:08:00,23267.9,23268.75,23255.3,23261.85,0
28,20250203  10:10:00,23261.25,23277.35,23260.8,23273.65,0
29,20250203  10:12:00,23274.05,23275.45,23255.4,23262.75,0
30,20250203  10:14:00,23261.75,23267.85,23247.65,23249.4,0
31,20250203  10:16:00,23249.55,23258.85,23242.05,23243.65,0
32,20250203  10:18:00,23244.25,23250.7,23239.65,23245.5,0
33,20250203  10:20:00,23247.0,23263.85,23242.15,23259.2,0
34,20250203  10:22:00,23259.05,23284.7,23255.05,23278.1,0
35,20250203  10:24:00,23278.25,23280.85,23273.15,23273.6,0
36,20250203  10:26:00,23274.2,23282.2,23272.15,23280.4,0
37,20250203  10:28:00,23280.65,23285.45,23266.65,23282.1,0
38,20250203  10:30:00,23282.0,23287.75,23278.05,23285.95,0
39,20250203  10:32:00,23284.9,23284.95,23270.05,23271.5,0
40,20250203  10:34:00,23272.25,23287.2,23270.55,23285.85,0
41,20250203  10:36:00,23286.15,23287.25,23271.0,23272.6,0
42,20250203  10:38:00,23272.95,23278.0,23271.0,23272.8,0
43,20250203  10:40:00,23273.85,23277.1,23270.55,23275.15,0
44,20250203  10:42:00,23275.2,23311.7,23274.4,23311.65,0
45,20250203  10:44:00,23311.4,23316.2,23307.25,23312.05,0
46,20250203  10:46:00,23311.2,23316.7,23308.9,23316.0,0
47,20250203  10:48:00,23314.9,23324.85,23312.15,23314.1,0
48,20250203  10:50:00,23314.45,23317.5,23301.3,23304.8,0
49,20250203  10:52:00,23304.85,23306.6,23298.65,23299.0,0
50,20250203  10:54:00,23298.8,23307.35,23293.55,23304.75,0
51,20250203  10:56:00,23305.75,23307.85,23298.3,23302.0,0
52,20250203  10:58:00,23302.6,23317.95,23301.9,23317.55,0
